smiles,source,N,logN,vectors
[C-]#[O+],Drozdovskaya (19),1.00E+20,20,"[1.3695064, 0.88627744, 4.0873847, 0.103379145, -0.12702659, 0.075609416, -0.5094648, 2.1266525, 3.4996789, 2.4984202, -0.5757253, 0.4829058, 0.4711895, 0.1972152, 3.0926614, 0.8800732, 1.372844, 2.0558398, 4.6497965, 0.68064785, -1.0565996, 0.266812, 0.23898508, -0.35747012, -0.18219534, 0.9530047, 0.78409517, 2.7267332, 0.64722806, -2.3887322, -0.053023692, -0.18072243, 0.25584012, 0.11475918, -2.653389, 1.2264055, -1.4310408, 1.947665, -0.5886766, 1.7347853, 0.42343396, -2.2536416, 1.5640669, -1.2819766, -1.9484142, 0.2769828, 0.5829179, 0.5264785, -1.2694125, 1.0257821, -0.6144099, -0.18425351, -2.6923637, -0.116647065, 0.86795956, -0.63627195, -3.5200336, 0.3009872, 0.31811374, -0.09917462, 1.0903504, -0.4864707, 3.0734417, 1.2390528, 0.61272395, -0.052924186, -2.0639422, -0.8864837, -0.33803496, -2.6257687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
[C-]#[17O+],Drozdovskaya (19),5.00E+16,16.69897,"[1.3695064, 0.88627744, 4.0873847, 0.103379145, -0.12702659, 0.075609416, -0.5094648, 2.1266525, 3.4996789, 2.4984202, -0.5757253, 0.4829058, 0.4711895, 0.1972152, 3.0926614, 0.8800732, 1.372844, 2.0558398, 4.6497965, 0.68064785, -1.0565996, 0.266812, 0.23898508, -0.35747012, -0.18219534, 0.9530047, 0.78409517, 2.7267332, 0.64722806, -2.3887322, -0.053023692, -0.18072243, 0.25584012, 0.11475918, -2.653389, 1.2264055, -1.4310408, 1.947665, -0.5886766, 1.7347853, 0.42343396, -2.2536416, 1.5640669, -1.2819766, -1.9484142, 0.2769828, 0.5829179, 0.5264785, -1.2694125, 1.0257821, -0.6144099, -0.18425351, -2.6923637, -0.116647065, 0.86795956, -0.63627195, -3.5200336, 0.3009872, 0.31811374, -0.09917462, 1.0903504, -0.4864707, 3.0734417, 1.2390528, 0.61272395, -0.052924186, -2.0639422, -0.8864837, -0.33803496, -2.6257687, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
CO,Jorgensen et al. (16/18),1.00E+19,19,"[-0.75515705, 0.20892425, -0.4343065, 0.046391934, 1.8297236, -0.25119233, -1.1185894, 0.04091254, 0.9794757, 0.43460375, 1.2329905, -0.70602244, 0.8645894, -0.030816376, 1.0764873, 0.54961455, -1.5474187, 0.2404416, 1.7026858, -0.16642955, 0.57219565, 0.46542752, 1.0116808, -0.09005384, -2.569351, -0.57624465, -0.7181511, 0.8330092, 0.9968586, -0.418005, 0.34902388, -1.1673391, -0.19274023, -0.830052, -0.4678942, -0.20677853, -0.3896419, 1.3690014, -0.86677337, 1.0137521, -0.17997357, -0.65291333, 0.5311924, 0.017674983, 0.9404755, -0.873057, 1.7521394, -0.48423818, 0.7306218, 0.8380633, -0.21308985, -0.45021522, -0.1997574, -0.2899097, 0.49836257, -0.4421324, -1.721333, 0.5261696, -0.10330561, 0.022938877, -0.7888783, 0.54364645, 0.48275387, 2.2125237, 0.03099209, -0.331052, -0.4416191, -0.17838998, 0.34249818, -0.13501118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
[2H]C([2H])([2H])O,Ilyushin et al. (21),3.70E+16,16.49136169,"[-0.75515705, 0.20892425, -0.4343065, 0.046391934, 1.8297236, -0.25119233, -1.1185894, 0.04091254, 0.9794757, 0.43460375, 1.2329905, -0.70602244, 0.8645894, -0.030816376, 1.0764873, 0.54961455, -1.5474187, 0.2404416, 1.7026858, -0.16642955, 0.57219565, 0.46542752, 1.0116808, -0.09005384, -2.569351, -0.57624465, -0.7181511, 0.8330092, 0.9968586, -0.418005, 0.34902388, -1.1673391, -0.19274023, -0.830052, -0.4678942, -0.20677853, -0.3896419, 1.3690014, -0.86677337, 1.0137521, -0.17997357, -0.65291333, 0.5311924, 0.017674983, 0.9404755, -0.873057, 1.7521394, -0.48423818, 0.7306218, 0.8380633, -0.21308985, -0.45021522, -0.1997574, -0.2899097, 0.49836257, -0.4421324, -1.721333, 0.5261696, -0.10330561, 0.022938877, -0.7888783, 0.54364645, 0.48275387, 2.2125237, 0.03099209, -0.331052, -0.4416191, -0.17838998, 0.34249818, -0.13501118, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 1, 0, 0]"
[2H]CO,Jorgensen et al. (18),7.10E+17,17.85125835,"[-0.75515705, 0.20892425, -0.4343065, 0.046391934, 1.8297236, -0.25119233, -1.1185894, 0.04091254, 0.9794757, 0.43460375, 1.2329905, -0.70602244, 0.8645894, -0.030816376, 1.0764873, 0.54961455, -1.5474187, 0.2404416, 1.7026858, -0.16642955, 0.57219565, 0.46542752, 1.0116808, -0.09005384, -2.569351, -0.57624465, -0.7181511, 0.8330092, 0.9968586, -0.418005, 0.34902388, -1.1673391, -0.19274023, -0.830052, -0.4678942, -0.20677853, -0.3896419, 1.3690014, -0.86677337, 1.0137521, -0.17997357, -0.65291333, 0.5311924, 0.017674983, 0.9404755, -0.873057, 1.7521394, -0.48423818, 0.7306218, 0.8380633, -0.21308985, -0.45021522, -0.1997574, -0.2899097, 0.49836257, -0.4421324, -1.721333, 0.5261696, -0.10330561, 0.022938877, -0.7888783, 0.54364645, 0.48275387, 2.2125237, 0.03099209, -0.331052, -0.4416191, -0.17838998, 0.34249818, -0.13501118, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0]"
[2H]OC,Jorgensen et al. (18),1.80E+17,17.25527251,"[-0.75515705, 0.20892425, -0.4343065, 0.046391934, 1.8297236, -0.25119233, -1.1185894, 0.04091254, 0.9794757, 0.43460375, 1.2329905, -0.70602244, 0.8645894, -0.030816376, 1.0764873, 0.54961455, -1.5474187, 0.2404416, 1.7026858, -0.16642955, 0.57219565, 0.46542752, 1.0116808, -0.09005384, -2.569351, -0.57624465, -0.7181511, 0.8330092, 0.9968586, -0.418005, 0.34902388, -1.1673391, -0.19274023, -0.830052, -0.4678942, -0.20677853, -0.3896419, 1.3690014, -0.86677337, 1.0137521, -0.17997357, -0.65291333, 0.5311924, 0.017674983, 0.9404755, -0.873057, 1.7521394, -0.48423818, 0.7306218, 0.8380633, -0.21308985, -0.45021522, -0.1997574, -0.2899097, 0.49836257, -0.4421324, -1.721333, 0.5261696, -0.10330561, 0.022938877, -0.7888783, 0.54364645, 0.48275387, 2.2125237, 0.03099209, -0.331052, -0.4416191, -0.17838998, 0.34249818, -0.13501118, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0]"
C[18OH],Jorgensen et al. (16),1.87E+16,16.27184161,"[-0.75515705, 0.20892425, -0.4343065, 0.046391934, 1.8297236, -0.25119233, -1.1185894, 0.04091254, 0.9794757, 0.43460375, 1.2329905, -0.70602244, 0.8645894, -0.030816376, 1.0764873, 0.54961455, -1.5474187, 0.2404416, 1.7026858, -0.16642955, 0.57219565, 0.46542752, 1.0116808, -0.09005384, -2.569351, -0.57624465, -0.7181511, 0.8330092, 0.9968586, -0.418005, 0.34902388, -1.1673391, -0.19274023, -0.830052, -0.4678942, -0.20677853, -0.3896419, 1.3690014, -0.86677337, 1.0137521, -0.17997357, -0.65291333, 0.5311924, 0.017674983, 0.9404755, -0.873057, 1.7521394, -0.48423818, 0.7306218, 0.8380633, -0.21308985, -0.45021522, -0.1997574, -0.2899097, 0.49836257, -0.4421324, -1.721333, 0.5261696, -0.10330561, 0.022938877, -0.7888783, 0.54364645, 0.48275387, 2.2125237, 0.03099209, -0.331052, -0.4416191, -0.17838998, 0.34249818, -0.13501118, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
C=O,Persson et al. (18),1.90E+18,18.28,"[-1.6243298, 0.5783266, 0.66634357, -0.80951804, 1.2336766, 0.04522714, -1.3704237, 0.65831757, 0.8637982, 0.8302376, 1.5561874, 0.47468022, 0.26374525, 1.0463517, 1.6722184, -0.2750622, -1.3783267, 0.57835776, 1.3227814, -1.0935292, -0.91954523, 0.30792823, 0.0789959, -0.11520736, -1.0836115, -0.13671115, 0.12970538, 0.92959964, 0.2561408, -1.1818817, 0.017839521, -1.2815992, 0.3902031, -0.07923129, 0.3769004, -0.47300857, -0.9720571, 0.81084776, -1.1456565, 0.07319528, 0.021271246, -1.1904125, 0.9303399, -0.27082145, 0.3071788, -0.5148699, 2.61521, -0.6670203, 0.12543286, 0.19106174, -1.0088304, -0.515579, -0.4870627, 1.174911, 0.7122726, 0.5744631, -1.5689534, -0.19809279, 0.10656625, -0.7693717, -0.8505471, -0.13937199, 0.890092, 1.3497483, 0.2180482, -0.76177025, 0.9376425, -0.6016351, -0.760741, -0.5866861, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
[13CH2]=O,Persson et al. (18),3.60E+16,16.5563025,"[-1.6243298, 0.5783266, 0.66634357, -0.80951804, 1.2336766, 0.04522714, -1.3704237, 0.65831757, 0.8637982, 0.8302376, 1.5561874, 0.47468022, 0.26374525, 1.0463517, 1.6722184, -0.2750622, -1.3783267, 0.57835776, 1.3227814, -1.0935292, -0.91954523, 0.30792823, 0.0789959, -0.11520736, -1.0836115, -0.13671115, 0.12970538, 0.92959964, 0.2561408, -1.1818817, 0.017839521, -1.2815992, 0.3902031, -0.07923129, 0.3769004, -0.47300857, -0.9720571, 0.81084776, -1.1456565, 0.07319528, 0.021271246, -1.1904125, 0.9303399, -0.27082145, 0.3071788, -0.5148699, 2.61521, -0.6670203, 0.12543286, 0.19106174, -1.0088304, -0.515579, -0.4870627, 1.174911, 0.7122726, 0.5744631, -1.5689534, -0.19809279, 0.10656625, -0.7693717, -0.8505471, -0.13937199, 0.890092, 1.3497483, 0.2180482, -0.76177025, 0.9376425, -0.6016351, -0.760741, -0.5866861, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0]"
C=[17O],Persson et al. (18),7.20E+14,14.8573325,"[-1.6243298, 0.5783266, 0.66634357, -0.80951804, 1.2336766, 0.04522714, -1.3704237, 0.65831757, 0.8637982, 0.8302376, 1.5561874, 0.47468022, 0.26374525, 1.0463517, 1.6722184, -0.2750622, -1.3783267, 0.57835776, 1.3227814, -1.0935292, -0.91954523, 0.30792823, 0.0789959, -0.11520736, -1.0836115, -0.13671115, 0.12970538, 0.92959964, 0.2561408, -1.1818817, 0.017839521, -1.2815992, 0.3902031, -0.07923129, 0.3769004, -0.47300857, -0.9720571, 0.81084776, -1.1456565, 0.07319528, 0.021271246, -1.1904125, 0.9303399, -0.27082145, 0.3071788, -0.5148699, 2.61521, -0.6670203, 0.12543286, 0.19106174, -1.0088304, -0.515579, -0.4870627, 1.174911, 0.7122726, 0.5744631, -1.5689534, -0.19809279, 0.10656625, -0.7693717, -0.8505471, -0.13937199, 0.890092, 1.3497483, 0.2180482, -0.76177025, 0.9376425, -0.6016351, -0.760741, -0.5866861, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
