smiles,prediction,sd,num c,num h,num s ,num o,num n,heavy atoms,dou,mass
COC#N,18.48736926,1.92553164,2,3,0,1,1,4,2,57.052
COC=CO,18.29677566,1.719464517,3,6,0,2,0,5,1,74.079
CC=COC,18.05347477,1.783722135,4,8,0,1,0,5,1,72.107
COCOC,18.02681641,1.446161232,3,8,0,2,0,5,0,76.095
OO,17.85788873,1.521387857,0,2,0,2,0,2,0,34.014
COCOC=O,17.79679042,1.964490835,3,6,0,3,0,6,1,90.078
C=C(C)O,17.71690494,1.988311607,3,6,0,1,0,4,1,58.08
O,17.61479015,1.394066518,0,2,0,1,0,1,0,18.015
N#CO,17.36714835,1.881289429,1,1,0,1,1,3,2,43.025
CCOC=CO,17.27674835,1.904809598,4,8,0,2,0,6,1,88.106
O=C=S=C=O,17.27385932,1.838568143,2,0,1,2,0,5,3,88.087
C,17.27276174,1.114670623,1,4,0,0,0,1,0,16.043
C=C,17.23978105,1.224981763,2,4,0,0,0,2,1,28.054
OCO,17.20997573,1.168454598,1,4,0,2,0,3,0,48.041
CC,17.17240903,1.073884972,2,6,0,0,0,2,0,30.07
COCC=CO,17.16788404,1.764905474,4,8,0,2,0,6,1,88.106
COCOCO,17.13302143,1.768257117,3,8,0,3,0,6,0,92.094
CO/C=C/C=C/O,17.06638353,1.932774761,5,8,0,2,0,7,2,100.117
O/C=C/CO,16.96096557,1.489413343,3,6,0,2,0,5,1,74.079
CC=CCOC,16.92458282,1.92137248,5,10,0,1,0,6,1,86.134
C=C(C)N,16.90165618,1.988594659,3,7,0,0,1,4,1,57.096
COCCO,16.8840771,1.120412117,3,8,0,2,0,5,0,76.095
CN,16.87404176,1.062245714,1,5,0,0,1,2,0,31.058
O=COCO,16.87047787,1.627196423,2,4,0,3,0,5,1,76.051
[HH],16.83765576,1.751285655,0,1,0,0,0,0,0.5,2.016
OC=CO,16.75480072,1.561222442,2,4,0,2,0,4,1,60.052
CCOCOC,16.74964465,1.762770838,4,10,0,2,0,6,0,90.122
CO/C=C\C#N,16.74617826,1.953356803,4,5,0,1,1,6,3,83.09
COCC(C)=O,16.74171626,1.94303339,4,8,0,2,0,6,1,88.106
COC=CC=O,16.73001995,1.545968105,4,6,0,2,0,6,2,86.09
O=C=C=S,16.72471953,1.715470034,2,0,1,1,0,4,3,72.088
CC=CCO,16.71766466,1.621191341,4,8,0,1,0,5,1,72.107
