species,smiles,parent,parent 2,isotopologue,source,N,logN,final vectors 70,final vectors iso 70
HCN,C#N,Main,Main,n,Drozdovskaya (19),5.00E+16,16.7,"[0.24084035, 1.1850275, 1.4768881, -0.5489886, 0.8776835, 0.32739085, -0.9186912, 1.062864, 1.4168923, 0.8330387, 0.7542119, -0.11261308, 0.9641727, 0.8769268, 1.6800431, -0.37678176, -1.1836176, 0.70213616, 2.2022004, 0.16623636, -0.16458704, 0.37047297, 0.9832332, 0.8550016, -0.75705147, -1.3546586, -0.2493047, 1.5337241, 2.4265752, -0.35732144, 1.0522097, -1.0031705, -1.0249472, -0.15501952, 0.015276853, 0.60908747, -1.2160578, 2.218, -1.6547005, 0.46945792, -0.44718245, -0.92977506, 0.34022564, 0.31824893, 0.45099068, -0.07785222, -0.0077953786, -1.6508365, 0.39765665, 1.1066933, 0.237109, -1.1732696, 1.1808975, -0.8770758, 1.3032705, 0.056833506, -1.7642137, -0.5723899, -1.2090381, -0.2778296, 0.55163205, 0.4341292, 1.7771662, 2.6973338, 0.34623176, -0.21547279, -1.7550762, 0.2513418, -1.4004864, 0.09281626]","[0.24084035, 1.1850275, 1.4768881, -0.5489886, 0.8776835, 0.32739085, -0.9186912, 1.062864, 1.4168923, 0.8330387, 0.7542119, -0.11261308, 0.9641727, 0.8769268, 1.6800431, -0.37678176, -1.1836176, 0.70213616, 2.2022004, 0.16623636, -0.16458704, 0.37047297, 0.9832332, 0.8550016, -0.75705147, -1.3546586, -0.2493047, 1.5337241, 2.4265752, -0.35732144, 1.0522097, -1.0031705, -1.0249472, -0.15501952, 0.015276853, 0.60908747, -1.2160578, 2.218, -1.6547005, 0.46945792, -0.44718245, -0.92977506, 0.34022564, 0.31824893, 0.45099068, -0.07785222, -0.0077953786, -1.6508365, 0.39765665, 1.1066933, 0.237109, -1.1732696, 1.1808975, -0.8770758, 1.3032705, 0.056833506, -1.7642137, -0.5723899, -1.2090381, -0.2778296, 0.55163205, 0.4341292, 1.7771662, 2.6973338, 0.34623176, -0.21547279, -1.7550762, 0.2513418, -1.4004864, 0.09281626, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
HC(15N),C#[15N],C#N,C#N,y,Drozdovskaya (19),2.50E+14,14.39794001,"[0.24084035, 1.1850275, 1.4768881, -0.5489886, 0.8776835, 0.32739085, -0.9186912, 1.062864, 1.4168923, 0.8330387, 0.7542119, -0.11261308, 0.9641727, 0.8769268, 1.6800431, -0.37678176, -1.1836176, 0.70213616, 2.2022004, 0.16623636, -0.16458704, 0.37047297, 0.9832332, 0.8550016, -0.75705147, -1.3546586, -0.2493047, 1.5337241, 2.4265752, -0.35732144, 1.0522097, -1.0031705, -1.0249472, -0.15501952, 0.015276853, 0.60908747, -1.2160578, 2.218, -1.6547005, 0.46945792, -0.44718245, -0.92977506, 0.34022564, 0.31824893, 0.45099068, -0.07785222, -0.0077953786, -1.6508365, 0.39765665, 1.1066933, 0.237109, -1.1732696, 1.1808975, -0.8770758, 1.3032705, 0.056833506, -1.7642137, -0.5723899, -1.2090381, -0.2778296, 0.55163205, 0.4341292, 1.7771662, 2.6973338, 0.34623176, -0.21547279, -1.7550762, 0.2513418, -1.4004864, 0.09281626]","[0.24084035, 1.1850275, 1.4768881, -0.5489886, 0.8776835, 0.32739085, -0.9186912, 1.062864, 1.4168923, 0.8330387, 0.7542119, -0.11261308, 0.9641727, 0.8769268, 1.6800431, -0.37678176, -1.1836176, 0.70213616, 2.2022004, 0.16623636, -0.16458704, 0.37047297, 0.9832332, 0.8550016, -0.75705147, -1.3546586, -0.2493047, 1.5337241, 2.4265752, -0.35732144, 1.0522097, -1.0031705, -1.0249472, -0.15501952, 0.015276853, 0.60908747, -1.2160578, 2.218, -1.6547005, 0.46945792, -0.44718245, -0.92977506, 0.34022564, 0.31824893, 0.45099068, -0.07785222, -0.0077953786, -1.6508365, 0.39765665, 1.1066933, 0.237109, -1.1732696, 1.1808975, -0.8770758, 1.3032705, 0.056833506, -1.7642137, -0.5723899, -1.2090381, -0.2778296, 0.55163205, 0.4341292, 1.7771662, 2.6973338, 0.34623176, -0.21547279, -1.7550762, 0.2513418, -1.4004864, 0.09281626, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
NH2CHO,NC=O,Main,Main,n,Coutens et al. (16),9.50E+15,15.98,"[-2.4563138, -0.72862643, -0.71998954, -1.5192794, 3.8396237, -0.14258707, -3.0525224, 1.5459265, 3.180367, 1.8833569, 2.2407663, -0.5257039, 0.17874894, 0.62809086, 4.2205954, 0.5717315, -3.1852083, 1.1782881, 3.2452793, -1.4335455, -0.21801451, 0.7329906, 3.1115766, -0.67863274, -2.6178727, -2.5996182, -0.9938825, 0.88576806, 0.6055463, -0.39033148, -1.0327559, -2.9769778, -0.2920967, 0.09813662, -1.0633028, -1.68193, -1.0914121, 2.2589586, 0.12624733, -0.63083255, -0.21756035, -3.7739682, 0.35930288, -2.5757194, 0.56816614, -1.8616567, 2.0186372, -0.799405, 0.7565955, 0.6868586, -1.3729148, -0.76207733, 1.7080004, 1.6419435, 3.055382, 1.4027374, -2.5965729, -1.7561722, 1.8295156, -0.58683336, -0.80319774, 1.3917899, 0.010473192, 2.7402854, -1.6192669, 0.018550843, -1.3043242, -0.44264758, -1.983428, -0.8414209]","[-2.4563138, -0.72862643, -0.71998954, -1.5192794, 3.8396237, -0.14258707, -3.0525224, 1.5459265, 3.180367, 1.8833569, 2.2407663, -0.5257039, 0.17874894, 0.62809086, 4.2205954, 0.5717315, -3.1852083, 1.1782881, 3.2452793, -1.4335455, -0.21801451, 0.7329906, 3.1115766, -0.67863274, -2.6178727, -2.5996182, -0.9938825, 0.88576806, 0.6055463, -0.39033148, -1.0327559, -2.9769778, -0.2920967, 0.09813662, -1.0633028, -1.68193, -1.0914121, 2.2589586, 0.12624733, -0.63083255, -0.21756035, -3.7739682, 0.35930288, -2.5757194, 0.56816614, -1.8616567, 2.0186372, -0.799405, 0.7565955, 0.6868586, -1.3729148, -0.76207733, 1.7080004, 1.6419435, 3.055382, 1.4027374, -2.5965729, -1.7561722, 1.8295156, -0.58683336, -0.80319774, 1.3917899, 0.010473192, 2.7402854, -1.6192669, 0.018550843, -1.3043242, -0.44264758, -1.983428, -0.8414209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
NH2CDO,[2H]C(N)=O,NC=O,NC=O,y,Coutens et al. (16),2.10E+14,14.32221929,"[-4.684608, 0.34441093, 0.3167836, -1.7305151, 3.3200471, 1.0055723, -3.1524875, 3.0664895, 3.1163056, 1.3423033, 2.5572352, -0.9596163, 1.4606718, 0.05044207, 1.9701241, -0.72955924, -3.6143026, 3.1655426, 3.7541049, -3.0456204, -0.37217686, 0.6749096, 3.8231492, -2.4449267, -3.1875687, -2.5034795, -0.5794077, 1.772516, 1.0682998, -1.2491505, -0.49842516, -2.2291799, -1.1719257, -0.4499721, -1.9886658, -1.629103, -1.4124942, 2.7467272, 0.7451935, -0.5360515, 0.32357812, -3.4875917, -0.8773314, -3.7868114, 0.5468991, -1.3615583, 1.7900927, -0.61577666, 1.3872566, 1.1057577, -2.0837965, -1.6617036, 1.2001364, 2.9201076, 2.135986, 1.4895544, -4.25353, -3.170002, -0.29097515, -0.16275102, -0.554739, 0.5963862, 2.177782, 4.2298474, -2.3328013, 0.3704059, -1.373377, 0.49885687, -1.6024925, -1.4122422]","[-2.4563138, -0.72862643, -0.71998954, -1.5192794, 3.8396237, -0.14258707, -3.0525224, 1.5459265, 3.180367, 1.8833569, 2.2407663, -0.5257039, 0.17874894, 0.62809086, 4.2205954, 0.5717315, -3.1852083, 1.1782881, 3.2452793, -1.4335455, -0.21801451, 0.7329906, 3.1115766, -0.67863274, -2.6178727, -2.5996182, -0.9938825, 0.88576806, 0.6055463, -0.39033148, -1.0327559, -2.9769778, -0.2920967, 0.09813662, -1.0633028, -1.68193, -1.0914121, 2.2589586, 0.12624733, -0.63083255, -0.21756035, -3.7739682, 0.35930288, -2.5757194, 0.56816614, -1.8616567, 2.0186372, -0.799405, 0.7565955, 0.6868586, -1.3729148, -0.76207733, 1.7080004, 1.6419435, 3.055382, 1.4027374, -2.5965729, -1.7561722, 1.8295156, -0.58683336, -0.80319774, 1.3917899, 0.010473192, 2.7402854, -1.6192669, 0.018550843, -1.3043242, -0.44264758, -1.983428, -0.8414209, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 0, 1]"
NH2(13C)HO,N[13CH]=O,NC=O,NC=O,y,Coutens et al. (16),1.50E+14,14.17609126,"[-2.4563138, -0.72862643, -0.71998954, -1.5192794, 3.8396237, -0.14258707, -3.0525224, 1.5459265, 3.180367, 1.8833569, 2.2407663, -0.5257039, 0.17874894, 0.62809086, 4.2205954, 0.5717315, -3.1852083, 1.1782881, 3.2452793, -1.4335455, -0.21801451, 0.7329906, 3.1115766, -0.67863274, -2.6178727, -2.5996182, -0.9938825, 0.88576806, 0.6055463, -0.39033148, -1.0327559, -2.9769778, -0.2920967, 0.09813662, -1.0633028, -1.68193, -1.0914121, 2.2589586, 0.12624733, -0.63083255, -0.21756035, -3.7739682, 0.35930288, -2.5757194, 0.56816614, -1.8616567, 2.0186372, -0.799405, 0.7565955, 0.6868586, -1.3729148, -0.76207733, 1.7080004, 1.6419435, 3.055382, 1.4027374, -2.5965729, -1.7561722, 1.8295156, -0.58683336, -0.80319774, 1.3917899, 0.010473192, 2.7402854, -1.6192669, 0.018550843, -1.3043242, -0.44264758, -1.983428, -0.8414209]","[-2.4563138, -0.72862643, -0.71998954, -1.5192794, 3.8396237, -0.14258707, -3.0525224, 1.5459265, 3.180367, 1.8833569, 2.2407663, -0.5257039, 0.17874894, 0.62809086, 4.2205954, 0.5717315, -3.1852083, 1.1782881, 3.2452793, -1.4335455, -0.21801451, 0.7329906, 3.1115766, -0.67863274, -2.6178727, -2.5996182, -0.9938825, 0.88576806, 0.6055463, -0.39033148, -1.0327559, -2.9769778, -0.2920967, 0.09813662, -1.0633028, -1.68193, -1.0914121, 2.2589586, 0.12624733, -0.63083255, -0.21756035, -3.7739682, 0.35930288, -2.5757194, 0.56816614, -1.8616567, 2.0186372, -0.799405, 0.7565955, 0.6868586, -1.3729148, -0.76207733, 1.7080004, 1.6419435, 3.055382, 1.4027374, -2.5965729, -1.7561722, 1.8295156, -0.58683336, -0.80319774, 1.3917899, 0.010473192, 2.7402854, -1.6192669, 0.018550843, -1.3043242, -0.44264758, -1.983428, -0.8414209, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 3, 0, 0, 0]"
HCOOCH3,COC=O,Main,Main,n,Jorgensen et al. (18),2.60E+17,17.41,"[-2.483458, -0.17716494, 0.01729405, -0.13202032, 8.313417, 0.52347, -3.1029403, -0.5306893, 2.1979368, 0.8403894, 2.1539683, 0.29182228, 0.8771353, 0.9987432, 4.462011, 0.58552897, -5.773816, 2.5174649, 2.9483716, -0.9590158, -1.8826643, 1.0571195, 3.8170607, -1.0054448, -5.905962, -1.7437379, -2.6278346, 2.3310435, 1.6305933, -1.9857663, 0.36012712, -4.2454906, -0.6701268, -1.7828847, -1.5834112, -0.41669086, -3.1749744, 3.1059449, -1.2087092, 0.3998202, 2.655658, -5.649436, -0.6904061, -1.6355641, 2.1675634, -2.29652, 3.975111, 0.19630851, 0.60195106, 1.0548016, -0.6388284, -1.2867954, 1.76298, 1.0028211, 2.707837, 1.4021297, -2.9079783, -2.034791, -0.34639674, -2.3022342, -0.690871, 0.0003771186, 0.5002512, 4.2267175, -2.7615328, 0.032425255, -0.3764795, 1.686742, -0.99778295, 1.4452963]","[-2.483458, -0.17716494, 0.01729405, -0.13202032, 8.313417, 0.52347, -3.1029403, -0.5306893, 2.1979368, 0.8403894, 2.1539683, 0.29182228, 0.8771353, 0.9987432, 4.462011, 0.58552897, -5.773816, 2.5174649, 2.9483716, -0.9590158, -1.8826643, 1.0571195, 3.8170607, -1.0054448, -5.905962, -1.7437379, -2.6278346, 2.3310435, 1.6305933, -1.9857663, 0.36012712, -4.2454906, -0.6701268, -1.7828847, -1.5834112, -0.41669086, -3.1749744, 3.1059449, -1.2087092, 0.3998202, 2.655658, -5.649436, -0.6904061, -1.6355641, 2.1675634, -2.29652, 3.975111, 0.19630851, 0.60195106, 1.0548016, -0.6388284, -1.2867954, 1.76298, 1.0028211, 2.707837, 1.4021297, -2.9079783, -2.034791, -0.34639674, -2.3022342, -0.690871, 0.0003771186, 0.5002512, 4.2267175, -2.7615328, 0.032425255, -0.3764795, 1.686742, -0.99778295, 1.4452963, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
CH3OCDO,[2H]C(=O)OC,COC=O,COC=O,y,Jorgensen et al. (18),1.50E+16,16.17609126,"[-4.5967226, 0.6762583, 1.0481224, -0.41150138, 7.6466565, 0.96145284, -3.0845954, 1.4271252, 2.5572507, 0.53114074, 2.715616, -0.15471195, 1.9349275, 0.3984305, 2.6813557, -0.74023896, -6.228511, 4.866016, 3.5387168, -3.0834615, -1.8984532, 1.3202189, 4.9836693, -3.4569662, -6.3547115, -1.9113901, -1.9960542, 2.9830441, 1.9965212, -3.0293849, 0.43432206, -3.593109, -1.6467435, -2.3549042, -2.739083, -0.7203853, -2.9018207, 3.8722222, -0.084668726, 0.5838714, 2.8859138, -6.1071925, -1.5972226, -3.5120642, 1.7459087, -1.7011255, 3.3408723, 0.09394029, 1.3265054, 1.3699772, -1.4104853, -2.3508916, 1.2062668, 3.1855762, 1.703099, 1.8369881, -5.7269716, -3.5899148, -1.7399505, -2.0267448, -0.6913064, 0.024059221, 2.947714, 5.9145584, -3.614459, -0.069321655, -0.021548927, 2.1862226, -0.51609015, 0.74756217]","[-2.483458, -0.17716494, 0.01729405, -0.13202032, 8.313417, 0.52347, -3.1029403, -0.5306893, 2.1979368, 0.8403894, 2.1539683, 0.29182228, 0.8771353, 0.9987432, 4.462011, 0.58552897, -5.773816, 2.5174649, 2.9483716, -0.9590158, -1.8826643, 1.0571195, 3.8170607, -1.0054448, -5.905962, -1.7437379, -2.6278346, 2.3310435, 1.6305933, -1.9857663, 0.36012712, -4.2454906, -0.6701268, -1.7828847, -1.5834112, -0.41669086, -3.1749744, 3.1059449, -1.2087092, 0.3998202, 2.655658, -5.649436, -0.6904061, -1.6355641, 2.1675634, -2.29652, 3.975111, 0.19630851, 0.60195106, 1.0548016, -0.6388284, -1.2867954, 1.76298, 1.0028211, 2.707837, 1.4021297, -2.9079783, -2.034791, -0.34639674, -2.3022342, -0.690871, 0.0003771186, 0.5002512, 4.2267175, -2.7615328, 0.032425255, -0.3764795, 1.686742, -0.99778295, 1.4452963, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 2, 0, 1]"
CH2DOCHO,[2H]COC=O,COC=O,COC=O,y,Jorgensen et al. (18),4.80E+16,16.68124124,"[-5.069879, 0.5983844, 1.2754977, 0.06874588, 8.055124, 1.0526458, -3.0050466, 1.1590312, 2.401172, -0.29896647, 2.660152, 0.28759548, 2.315821, -0.956301, 1.1218033, -0.3809201, -5.723674, 4.851117, 4.853912, -3.3714275, -1.887081, 1.8826153, 5.6515946, -2.7782106, -6.470892, -2.5877502, -0.9262086, 2.7074234, 2.378581, -2.4409378, 0.6926748, -4.006499, -1.9942654, -3.3760645, -2.732956, -1.2530854, -1.5622246, 4.2065625, -0.35644144, 1.0158781, 2.7050405, -6.1792364, -0.89032793, -3.1801853, 2.719634, -0.7095511, 3.5672045, -0.9351672, 1.9528902, 0.82088506, -1.0964928, -2.0000587, 0.4140337, 2.3248603, 1.2493355, 1.4208181, -5.996175, -4.1023273, -2.097909, -2.679032, -1.0051585, 0.8270058, 2.4999216, 6.378415, -2.9881537, -0.1529662, -1.1135564, 2.5952864, -0.7081373, 0.86677635]","[-2.483458, -0.17716494, 0.01729405, -0.13202032, 8.313417, 0.52347, -3.1029403, -0.5306893, 2.1979368, 0.8403894, 2.1539683, 0.29182228, 0.8771353, 0.9987432, 4.462011, 0.58552897, -5.773816, 2.5174649, 2.9483716, -0.9590158, -1.8826643, 1.0571195, 3.8170607, -1.0054448, -5.905962, -1.7437379, -2.6278346, 2.3310435, 1.6305933, -1.9857663, 0.36012712, -4.2454906, -0.6701268, -1.7828847, -1.5834112, -0.41669086, -3.1749744, 3.1059449, -1.2087092, 0.3998202, 2.655658, -5.649436, -0.6904061, -1.6355641, 2.1675634, -2.29652, 3.975111, 0.19630851, 0.60195106, 1.0548016, -0.6388284, -1.2867954, 1.76298, 1.0028211, 2.707837, 1.4021297, -2.9079783, -2.034791, -0.34639674, -2.3022342, -0.690871, 0.0003771186, 0.5002512, 4.2267175, -2.7615328, 0.032425255, -0.3764795, 1.686742, -0.99778295, 1.4452963, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 1, 0, 0]"
CHD2OCHO,[2H]C([2H])OC=O,COC=O,COC=O,y,Manigand et al. (18),1.10E+16,16.04139269,"[-5.899499, 0.7375946, 1.6397042, 0.9894066, 8.465504, 1.8302858, -2.9687905, 2.973894, 2.801001, -0.8206594, 3.3016725, 0.24412528, 3.3235188, -2.0008426, -0.85779536, -1.8372779, -6.4948926, 6.148275, 7.4259396, -5.0900707, -1.8035537, 2.0413315, 6.099846, -4.4728866, -6.4187927, -3.1966498, 0.36697173, 3.4685056, 2.4829385, -1.9402921, 1.8190405, -3.4021964, -2.3502154, -4.171122, -3.602181, -1.0648065, -1.4869902, 5.1819115, 0.22403175, 1.1709118, 2.0405064, -6.008638, -0.9277406, -3.508453, 1.9966198, 0.45317948, 3.5239978, -2.0108376, 3.036369, 0.88612336, -1.5693094, -2.5671258, 0.68124443, 3.3162956, 0.19577773, 1.0141945, -7.9322414, -5.770689, -4.551569, -3.4862504, -0.99160564, 1.112589, 3.4611368, 7.9896584, -3.0045223, -0.55828166, -1.1273491, 3.4757655, -0.73631394, 0.2529599]","[-2.483458, -0.17716494, 0.01729405, -0.13202032, 8.313417, 0.52347, -3.1029403, -0.5306893, 2.1979368, 0.8403894, 2.1539683, 0.29182228, 0.8771353, 0.9987432, 4.462011, 0.58552897, -5.773816, 2.5174649, 2.9483716, -0.9590158, -1.8826643, 1.0571195, 3.8170607, -1.0054448, -5.905962, -1.7437379, -2.6278346, 2.3310435, 1.6305933, -1.9857663, 0.36012712, -4.2454906, -0.6701268, -1.7828847, -1.5834112, -0.41669086, -3.1749744, 3.1059449, -1.2087092, 0.3998202, 2.655658, -5.649436, -0.6904061, -1.6355641, 2.1675634, -2.29652, 3.975111, 0.19630851, 0.60195106, 1.0548016, -0.6388284, -1.2867954, 1.76298, 1.0028211, 2.707837, 1.4021297, -2.9079783, -2.034791, -0.34639674, -2.3022342, -0.690871, 0.0003771186, 0.5002512, 4.2267175, -2.7615328, 0.032425255, -0.3764795, 1.686742, -0.99778295, 1.4452963, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4, 1, 0, 0]"
C2H5OCH3,CCOC,Main,Main,n,Manigand et al. (20),1.80E+16,16.26,"[-0.23399766, 0.97853434, 0.07944946, 0.59402955, 8.816753, 0.017411739, -2.189333, -0.89732146, 1.4244313, 2.1286001, 3.003467, -1.1457661, 1.2881156, 1.8038988, 2.7149558, 1.5634255, -6.975689, 0.68518966, 3.1135368, -0.6589738, -1.0710487, -0.18208075, 3.3086927, 0.52801687, -4.562707, -2.6196833, -2.6083858, 1.8936213, 4.5005765, -0.5749345, 1.4148294, -4.817926, 0.13313232, -3.6845942, -0.6139411, -0.16495743, -4.321633, 2.3070402, -2.0341694, 0.9036323, 0.91089284, -1.3638785, -0.95162874, 0.18384543, 2.4574573, -1.822311, 3.74867, -0.4849068, 0.8796538, 0.12490287, -2.4860823, -0.11758769, 0.46879914, -0.04676918, 1.9714673, -0.051674113, -0.33729726, -1.4482049, -1.4476663, -1.9226348, -1.7484821, 0.38291866, 1.5111622, 6.7265854, -0.9821182, -0.33294937, 0.7819122, 3.3179502, 0.24620058, 3.6506312]","[-0.23399766, 0.97853434, 0.07944946, 0.59402955, 8.816753, 0.017411739, -2.189333, -0.89732146, 1.4244313, 2.1286001, 3.003467, -1.1457661, 1.2881156, 1.8038988, 2.7149558, 1.5634255, -6.975689, 0.68518966, 3.1135368, -0.6589738, -1.0710487, -0.18208075, 3.3086927, 0.52801687, -4.562707, -2.6196833, -2.6083858, 1.8936213, 4.5005765, -0.5749345, 1.4148294, -4.817926, 0.13313232, -3.6845942, -0.6139411, -0.16495743, -4.321633, 2.3070402, -2.0341694, 0.9036323, 0.91089284, -1.3638785, -0.95162874, 0.18384543, 2.4574573, -1.822311, 3.74867, -0.4849068, 0.8796538, 0.12490287, -2.4860823, -0.11758769, 0.46879914, -0.04676918, 1.9714673, -0.051674113, -0.33729726, -1.4482049, -1.4476663, -1.9226348, -1.7484821, 0.38291866, 1.5111622, 6.7265854, -0.9821182, -0.33294937, 0.7819122, 3.3179502, 0.24620058, 3.6506312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
